Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
"Csquare, Inc.",CSQR,Morgan Stanley/TD Securities/Wells Fargo Securities/BofA Securities/BMO Capital Markets/Scotiabank/Jefferies/J.P.Morgan/RBC Capital Markets/Societe Generale,50.0,21.00,21.00,$ 1050.0 mil,7/16/2026 Priced,S/O,S/O
QumulusAI (Direct Listing),QMLS,Chardan Capital Markets (Financial Advisor),39.5,3.00,23.15,$ 0.0 mil,7/16/2026 Thursday,S/O,S/O
"Standard Nuclear, Inc.",STDN,BofA Securities/Goldman Sachs/Barclays/UBS Investment Bank/Evercore ISI/RBC Capital Markets/ William Blair/Stifel,10.0,15.00,15.00,$ 150.0 mil,7/16/2026 Priced,S/O,S/O
Southern Cross Acquisition I Corp.,NCOU,D. Boral Capital (ex-EF Hutton),10.0,10.00,10.00,$ 100.0 mil,7/17/2026 Friday,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,7/20/2026 Week of,S/O,S/O
Ticketplus,TP,Roth Capital/Bancroft Capital/MDB Capital Group,1.8,13.00,15.00,$ 25.0 mil,7/20/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,7/27/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,7/27/2026 Week of,S/O,S/O
Web3Labs Global Inc.,MDAT,Eddid Securities USA,6.3,4.00,5.00,$ 28.1 mil,7/27/2026 Week of,S/O,S/O
