Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
FutureCorp Space Acquisition I,FTRAU,Cantor,20.0,10.00,10.00,$ 200.0 mil,6/5/2026 Priced,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,4.0,8.15,8.15,$ 32.6 mil,6/8/2026 Week of,S/O,S/O
WhiteHawk Income (WhiteHawk Minerals),WHK,Raymond James/Stifel/J.P. Morgan/Capital One Securities/Stephens,6.9,25.00,27.00,$ 179.4 mil,6/9/2026 Tuesday,S/O,S/O
"ERock, Inc.",EROC,Morgan Stanley/J.P. Morgan/Barclays/BofA Securities/Evercore ISI/Wolfe Nomura Alliance/BNP Paribas,27.9,20.00,23.00,$ 600.0 mil,6/10/2026 Wednesday,S/O,S/O
Parabilis Medicines,PBLS,Leerink Partners/BofA Securities/Evercore ISI/Guggenheim Partners/LifeSci Capital,25.0,17.00,19.00,$ 450.0 mil,6/10/2026 Wednesday,S/O,S/O
Forbright,FRBT,Goldman Sachs/J.P. Morgan/Barclays/Wells Fargo Securities/Piper Sandler/TD Securities/Santander/Centerview Partners,7.9,18.00,20.00,$ 150.1 mil,6/11/2026 Thursday,S/O,S/O
Space Exploration Technologies,SPCX,Goldman Sachs/Morgan Stanley/BofA Securities/Citigroup/J.P. Morgan/Barclays/Deutsche Bank Securities/RBC Capital Markets/UBS Investment Bank/Wells Fargo Securities/Allen & Company/Cantor/Needham & Company/Raymond James/Societe Generale/Stifel/William Blair/BTG Pactual/ING/Macquarie Capital/Mirae Asset Securities/Mizuho/Santander,555.6,135.00,135.00,$ 75000.0 mil,6/12/2026 Friday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,6/22/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,6/22/2026 Week of,S/O,S/O
