Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Cantor Equity Partners VII (Stock-Only),CAES,Cantor,25.0,10.00,10.00,$ 250.0 mil,6/17/2026 Priced,S/O,S/O
Deep Fission,FISN,Benchmark (StoneX)/Seaport Global Securities/Maxim Group,2.5,16.00,18.00,$ 42.5 mil,6/18/2026 Thursday,S/O,S/O
First Carolina Financial Services,FCBM,"Keefe, Bruyette & Woods (A Stifel Company)",5.5,14.00,16.00,$ 82.5 mil,6/18/2026 Thursday,S/O,S/O
Kardigan,KARD,J.P.Morgan/Jefferies/Leerink Partners/TD Cowen,23.3,14.00,16.00,$ 350.0 mil,6/18/2026 Thursday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,6/22/2026 Week of,S/O,S/O
Coolbit Technologies Ltd.,CBAI,Eddid Securities USA,5.0,4.00,5.00,$ 22.5 mil,6/22/2026 Week of,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,6/22/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,6/22/2026 Week of,S/O,S/O
Doncasters Group – DPC Holdings Limited,DPC,Jefferies/Morgan Stanley/Barclays/Moelis & Co./RBC Capital Markets/Rothschild,23.3,28.00,32.00,$ 700.0 mil,6/25/2026 Thursday,S/O,S/O
