Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
"ERock, Inc.",EROC,Morgan Stanley/J.P. Morgan/Barclays/BofA Securities/Evercore ISI/Wolfe Nomura Alliance/BNP Paribas,27.9,21.50,21.50,$ 600.1 mil,6/10/2026 Priced,S/O,S/O
JAB Acquisition Corp. I,JABU,D. Boral Capital (ex-EF Hutton),15.0,10.00,10.00,$ 150.0 mil,6/10/2026 Priced,S/O,S/O
Parabilis Medicines,PBLS,Leerink Partners/BofA Securities/Evercore ISI/Guggenheim Partners/LifeSci Capital,33.5,20.00,20.00,$ 670.0 mil,6/10/2026 Priced,S/O,S/O
RMG ML Sports Holdings,SHOTU,Santander,20.0,10.00,10.00,$ 200.0 mil,6/10/2026 Priced,S/O,S/O
Forbright,FRBT,Goldman Sachs/J.P. Morgan/Barclays/Wells Fargo Securities/Piper Sandler/TD Securities/Santander/Centerview Partners,7.9,18.00,20.00,$ 150.1 mil,6/11/2026 Thursday,S/O,S/O
Space Exploration Technologies,SPCX,Goldman Sachs/Morgan Stanley/BofA Securities/Citigroup/J.P. Morgan/Barclays/Deutsche Bank Securities/RBC Capital Markets/UBS Investment Bank/Wells Fargo Securities/Allen & Company/Cantor/Needham & Company/Raymond James/Societe Generale/Stifel/William Blair/BTG Pactual/ING/Macquarie Capital/Mirae Asset Securities/Mizuho/Santander,555.6,135.00,135.00,$ 75000.0 mil,6/12/2026 Friday,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,4.0,8.15,8.15,$ 32.6 mil,6/15/2026 Week of,S/O,S/O
First Carolina Financial Services,FCBM,"Keefe, Bruyette & Woods (A Stifel Company)",5.5,14.00,16.00,$ 82.5 mil,6/18/2026 Thursday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,6/22/2026 Week of,S/O,S/O
Coolbit Technologies Ltd.,CBAI,Eddid Securities USA,5.0,4.00,5.00,$ 22.5 mil,6/22/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,6/22/2026 Week of,S/O,S/O
