Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Innovative Digital Investors Acquisition (Ex-FG Mergers III),IDIAU,ThinkEquity,20.0,10.00,10.00,$ 200.0 mil,5/28/2026 Thursday,S/O,S/O
Deep Fission,FISN,William Blair/Stifel/Canaccord Genuity/Benchmark (StoneX)/Seaport Global Securities,6.0,24.00,26.00,$ 150.0 mil,5/29/2026 Friday,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,5/29/2026 Week of,S/O,S/O
Applied Aerospace & Defense,AADX,Morgan Stanley/Jefferies/BofA Securities/RBC Capital Markets/Guggenheim Securities/Baird/Stifel/WR Securities/Nomura Securities,32.5,18.00,21.00,$ 633.8 mil,6/3/2026 Wednesday,S/O,S/O
INNIO Holding GmBH,INIO,Goldman Sachs/J.P. Morgan/Morgan Stanley/BofA Securities/Barclays/Citigroup/Baird/BNP Paribas/Deutsche Bank Securities/RBC Capital Markets/UBS Investment Bank,75.0,24.00,27.00,$ 1912.5 mil,6/4/2026 Thursday,S/O,S/O
Quantinuum,QNT,"J.P. Morgan/Morgan Stanley/Jefferies/Evercore ISI/BofA Securities/UBS Investment Bank/Cantor/Mizuho Securities/Needham & Co.,/Societe Generale/TD Cowen",21.1,45.00,50.00,$ 1000.0 mil,6/4/2026 Thursday,S/O,S/O
Safepoint Holdings,SFPT,Deutsche Bank Securities/Morgan Stanley/Keefe Bruyette Woods/Citizens Capital/Piper Sandler/Truist Securities/William Blair,16.7,15.00,17.00,$ 266.7 mil,6/4/2026 Thursday,S/O,S/O
Sunshine Silver Mining & Refining,SSMR,Morgan Stanley/Scotia Capital/BMO Capital Markets/Canaccord Genuity/Citigroup/RBC Capital Markets,20.0,13.50,16.50,$ 300.0 mil,6/4/2026 Thursday,S/O,S/O
Lannister Mining Corp.,DRIL,Joseph Gunnar & Co./Research Capital,3.0,5.00,5.00,$ 15.0 mil,6/5/2026 Week of,S/O,S/O
WhiteHawk Income (WhiteHawk Minerals),WHK,Raymond James/Stifel/J.P. Morgan/Capital One Securities/Stephens,6.9,25.00,27.00,$ 179.4 mil,6/5/2026 Friday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,6/9/2026 Week of,S/O,S/O
