Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
AMASS Brands (Direct Listing),AMSS,Maxim (Financial Advisor),14.3,8.98,8.98,$ 128.3 mil,5/20/2026 Wednesday,S/O,S/O
Lincoln International,LCLN,Goldman Sachs/Morgan Stanley/BMO Capital Markets/Citizens Capital Markets/Evercore ISI,21.1,20.00,20.00,$ 421.0 mil,5/20/2026 Priced,S/O,S/O
Optimi Health (Uplisting),OPTH,Joseph Gunnar & Co.,2.4,6.25,6.25,$ 15.0 mil,5/20/2026 Priced,S/O,S/O
Research Alliance III (Stock-Only SPAC),RACC,Leerink Partners,7.5,10.00,10.00,$ 75.0 mil,5/20/2026 Priced,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,5/21/2026 Week of,S/O,S/O
Conexeu Sciences (Direct Listing),CNXU,H.C. Wainwright (Financial Advisor),9.5,4.00,4.00,$ 38.0 mil,5/21/2026 Thursday,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,5/21/2026 Week of,S/O,S/O
FortuneX Acquisition Corp.,FXACU,Polaris (A Division of Kingswood),7.5,10.00,10.00,$ 75.0 mil,5/21/2026 Thursday,S/O,S/O
Lannister Mining Corp.,DRIL,Joseph Gunnar & Co.,2.0,5.00,5.00,$ 10.0 mil,5/21/2026 Thursday,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,5/21/2026 Week of,S/O,S/O
