Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
AIAI Holdings Corp. (Direct Listing),AIAI,RBW Capital Partners (Financial Advisor),69.5,20.00,20.00,$ 1389.6 mil,5/14/2026 Thursday,S/O,S/O
Blackstone Digital Infrastructure Trust,BXDC,Goldman Sachs/Citigroup/Morgan Stanley/Barclays/BofA Securities/Deutsche Bank Securities/J.P. Morgan/RBC Capital Markets/ Wells Fargo Securities/BNP Paribas/SMBC Nikko/Societe Generale/BBVA/Credit Agricole CIB/MUFG Securities America/Santander/TD Securities,87.5,20.00,20.00,$ 1750.0 mil,5/14/2026 Priced,S/O,S/O
Cerebras Systems Inc. (2026),CBRS,Morgan Stanley/Citigroup/Barclays/UBS Investment Bank/Mizuho Securities/TD Securities,30.0,185.00,185.00,$ 5550.0 mil,5/14/2026 Priced,S/O,S/O
"EagleRock Land, LLC",EROK,Goldman Sachs/Barclays/J.P.Morgan/Piper Sandler/Raymond James/KeyBanc Capital Markets/Pickering Energy Partners/Stephens Inc./Texas Capital Securities,17.3,18.50,18.50,$ 320.1 mil,5/14/2026 Priced,S/O,S/O
GSR V Acquisition Corp.,GSRVU,Polaris (A Division of Kingswood Capital)/Benchmark (A StoneX Company),20.0,10.00,10.00,$ 200.0 mil,5/14/2026 Priced,S/O,S/O
"Micware Co., Ltd.",MWC,A.G.P.,2.9,8.00,8.00,$ 22.8 mil,5/14/2026 Priced,S/O,S/O
Optimi Health (Uplisting),OPTH,Joseph Gunnar & Co.,2.5,6.00,8.00,$ 17.5 mil,5/15/2026 Week of,S/O,S/O
Patriot Acquisition Corp./CI,PATR,"Keefe, Bruyette & Woods (A Stifel Company)",20.0,10.00,10.00,$ 200.0 mil,5/15/2026 Friday,S/O,S/O
VIDA Global (Brief),VIDA,The Benchmark Company,3.3,4.50,5.00,$ 15.8 mil,5/15/2026 Friday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,5/18/2026 Week of,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,5/18/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,5/18/2026 Week of,S/O,S/O
Lincoln International,LCLN,Goldman Sachs/Morgan Stanley/BMO Capital Markets/Citizens Capital Markets/Evercore ISI,21.1,18.00,20.00,$ 400.0 mil,5/20/2026 Wednesday,S/O,S/O
Lannister Mining Corp.,DRIL,Joseph Gunnar & Co.,2.0,5.00,5.00,$ 10.0 mil,5/21/2026 Thursday,S/O,S/O
