Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Nomadar Corp. (Direct Listing),NOMA,Clear Street (Financial Advisor - Direct Listing),13.3,30.00,30.00,$ 398.1 mil,10/31/2025 Priced,S/O,S/O
Viking Acquisition Corp. I,VACI.U,Cohen & Company Capital Markets,20.0,10.00,10.00,$ 200.0 mil,10/31/2025 Priced,S/O,S/O
BETA Technologies,BETA,"Morgan Stanley/Goldman Sachs/BofA Securities/Jefferies/TPG Capital BD, LLC/Citigroup/Cantor/BTIG/Needham & Co.",25.0,27.00,33.00,$ 750.0 mil,11/4/2025 Tuesday,S/O,S/O
Exzeo Group,XZO,Truist Securities/Citizens JMP/William Blair,8.0,20.00,22.00,$ 168.0 mil,11/5/2025 Wednesday,S/O,S/O
"BillionToOne, Inc.",BLLN,J.P. Morgan/Piper Sandler/Jefferies/William Blair/Stifel/Wells Fargo Securities/BTIG,3.9,49.00,55.00,$ 200.0 mil,11/6/2025 Thursday,S/O,S/O
Evommune,EVMN,Morgan Stanley/Leerink Partners/Evercore ISI/Cantor,9.4,15.00,17.00,$ 150.0 mil,11/6/2025 Thursday,S/O,S/O
Grupo Aeromexico,AERO,Barclays/ Morgan Stanley/ J.P. Morgan/ Evercore ISI/ Apollo Global Securities,11.7,18.00,20.00,$ 222.8 mil,11/6/2025 Thursday,S/O,S/O
Anew Health Ltd.,AVG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,11/7/2025 Week of,S/O,S/O
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Craft Capital Management/ Boustead Securities,1.3,4.00,4.00,$ 5.0 mil,11/7/2025 Week of,S/O,S/O
Monkey Tree Investment Ltd.,MKTR,Craft Capital Management/Revere Securities,1.6,4.00,5.00,$ 7.0 mil,11/7/2025 Week of,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,11/10/2025 Week of,S/O,S/O
ALE Group Holding  Limited,ALEH,D. Boral Capital (ex-EF Hutton),1.5,4.00,6.00,$ 7.5 mil,11/10/2025 Week of,S/O,S/O
WeShop Holdings (NASDAQ Direct Listing),WSHP,ThinkEquity (Financial Adviser - Direct Listing),4.0,0.00,0.00,$ 100.0 mil,11/10/2025 Monday,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,11/11/2025 Tuesday,S/O,S/O
Public Policy Holding Co. (NASDAQ Uplisting),PPHC,Oppenheimer & Co./Canaccord Genuity/Texas Capital Securities,4.1,14.64,14.64,$ 60.0 mil,11/12/2025 Wednesday,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.9,4.00,6.00,$ 9.4 mil,11/13/2025 Week of,S/O,S/O
"Gloo Holdings, Inc.",GLOO,Roth Capital Partners,9.1,10.00,12.00,$ 100.1 mil,11/17/2025 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,11/18/2025 Tuesday,S/O,S/O
