Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Aeon Acquisition I Corp.,AESPU,Chardan/D. Boral Capital,12.5,10.00,10.00,$ 125.0 mil,6/3/2026 Priced,S/O,S/O
AmperCap Acquisition Co.,APMCU,EarlyBirdCapital,12.5,10.00,10.00,$ 125.0 mil,6/3/2026 Priced,S/O,S/O
Applied Aerospace & Defense,AADX,Morgan Stanley/Jefferies/BofA Securities/RBC Capital Markets/Guggenheim Securities/Baird/Stifel/WR Securities/Nomura Securities,32.5,20.00,20.00,$ 650.0 mil,6/3/2026 Priced,S/O,S/O
Keystone Acquisition Corp.,KEYYU,Cohen & Company Securities,25.0,10.00,10.00,$ 250.0 mil,6/3/2026 Priced,S/O,S/O
Eloxx Pharmaceuticals (Uplist/Re-List),ELOX,Leerink Partners/Guggenheim Securities/LifeSci Capital,1.5,10.00,12.00,$ 16.5 mil,6/4/2026 Thursday,S/O,S/O
INNIO Holding GmBH,INIO,Goldman Sachs/J.P. Morgan/Morgan Stanley/BofA Securities/Barclays/Citigroup/Baird/BNP Paribas/Deutsche Bank Securities/RBC Capital Markets/UBS Investment Bank,75.0,24.00,27.00,$ 1912.5 mil,6/4/2026 Thursday,S/O,S/O
Liftoff Mobile (April 2026),LFTO,Goldman Sachs/Jefferies/Morgan Stanley/Barclays/RBC Capital Markets/UBS Investment Bank/Wells Fargo Securities/William Blair/Cantor/Deutsche Bank Securities/PJT Partners/Wolfe | Nomura Alliance/BTIG/Needham & Company/Raymond James,19.0,20.00,22.00,$ 399.0 mil,6/4/2026 Thursday,S/O,S/O
Quantinuum,QNT,"J.P. Morgan/Morgan Stanley/Jefferies/Evercore ISI/BofA Securities/UBS Investment Bank/Cantor/Mizuho Securities/Needham & Co.,/Societe Generale/TD Cowen",26.5,53.00,55.00,$ 1431.0 mil,6/4/2026 Thursday,S/O,S/O
Safepoint Holdings,SFPT,Deutsche Bank Securities/Morgan Stanley/Keefe Bruyette Woods/Citizens Capital/Piper Sandler/Truist Securities/William Blair,16.7,15.00,17.00,$ 266.7 mil,6/4/2026 Thursday,S/O,S/O
Sunshine Silver Mining & Refining,SSMR,Morgan Stanley/Scotia Capital/BMO Capital Markets/Canaccord Genuity/Citigroup/RBC Capital Markets,20.0,13.50,16.50,$ 300.0 mil,6/4/2026 Thursday,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,6/5/2026 Week of,S/O,S/O
WhiteHawk Income (WhiteHawk Minerals),WHK,Raymond James/Stifel/J.P. Morgan/Capital One Securities/Stephens,6.9,25.00,27.00,$ 179.4 mil,6/5/2026 Friday,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,4.0,8.15,8.15,$ 32.6 mil,6/8/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,6/9/2026 Week of,S/O,S/O
"ERock, Inc.",EROC,Morgan Stanley/J.P. Morgan/Barclays/BofA Securities/Evercore ISI/Wolfe Nomura Alliance/BNP Paribas,27.9,20.00,23.00,$ 600.0 mil,6/10/2026 Wednesday,S/O,S/O
Forbright,FRBT,Goldman Sachs/J.P. Morgan/Barclays,7.9,18.00,20.00,$ 150.1 mil,6/11/2026 Thursday,S/O,S/O
