Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Lakewood-Amedex Biotherapeutics (Direct Listing),LABT,RBW Capital Partners (Financial Advisor),4.7,8.00,8.00,$ 37.6 mil,4/23/2026 Priced,S/O,S/O
The Elmet Group Co.,ELMT,Cantor/Needham & Co./Canaccord Genuity/Roth Capital Partners,8.6,14.00,14.00,$ 120.4 mil,4/23/2026 Priced,S/O,S/O
Optimi Health Ltd. (Uplisting),OPTH,Joseph Gunnar & Co.,2.5,6.00,8.00,$ 17.5 mil,4/24/2026 Week of,S/O,S/O
X-Energy,XE,J.P.Morgan/Morgan Stanley/Jefferies/Moelis & Co./Cantor/UBS Investment Bank/TD Cowen Securities/Guggenheim Securities/Wolfe/Nomura Alliance,42.9,16.00,19.00,$ 750.1 mil,4/24/2026 Friday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,4/27/2026 Week of,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,4/27/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,4/27/2026 Week of,S/O,S/O
Pershing Square Inc.,PS,Citigroup/UBS Investment Bank/BofA Securities/Jefferies/Wells Fargo Securities,100.0,50.00,50.00,$ 5000.0 mil,4/29/2026 Wednesday,S/O,S/O
