Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Collective Acquisition Corp. II,CAIIU,Clear Street,22.0,10.00,10.00,$ 220.0 mil,4/29/2026 Priced,S/O,S/O
Pershing Square USA/Pershing Square Inc. (Closed-End Fund),PSUS/PS,"Citigroup/UBS Investment Bank/BofA Securities/Jefferies/Wells Fargo Securities/RBC Capital Mrkets/BTG Pactual/Keefe, Bruyette & Woods/Academy Securities/Huntington Securities/Loop Capital/Oppenheimer/Piper Sandler/Roberts & Ryan/Wedbush Securities",100.0,50.00,50.00,$ 5000.0 mil,4/29/2026 Priced,S/O,S/O
Avalyn Pharma,AVLN,Morgan Stanley/Jefferies/Evercore ISI/Guggenheim Securities,16.7,16.00,18.00,$ 283.4 mil,4/30/2026 Thursday,S/O,S/O
Mountain Crest Acquisition 6 Corp.,MCAHU,D. Boral Capital,6.0,10.00,10.00,$ 60.0 mil,4/30/2026 Thursday,S/O,S/O
Optimi Health (Uplisting),OPTH,Joseph Gunnar & Co.,2.5,6.00,8.00,$ 17.5 mil,4/30/2026 Week of,S/O,S/O
Silver Bow Mining Corp.,SBMT,Cantor/Research Capital/Joseph Gunnar/Roth Capital Markets/R.F. Lafferty & Co.,4.4,10.00,13.00,$ 50.0 mil,4/30/2026 Thursday,S/O,S/O
"Hemab Therapeutics Holdings, Inc.",COAG,Goldman Sachs/Jefferies/Evercore ISI,11.8,16.00,18.00,$ 199.9 mil,5/1/2026 Friday,S/O,S/O
Seaport Therapeutics,SPTX,Goldman Sachs/J.P.Morgan/Leerink Partners/Citigroup/Stifel,11.8,16.00,18.00,$ 200.6 mil,5/1/2026 Friday,S/O,S/O
Encore Medical Inc.,EMI,The Oak Ridge Financial Services Group,3.0,5.00,5.00,$ 15.0 mil,5/6/2026 Week of,S/O,S/O
"HawkEye 360, Inc.",HAWK,Goldman Sachs/Morgan Stanley/RBC Capital Markets/Jefferies/BofA Securities/Baird/Raymond James/William Blair,16.0,24.00,26.00,$ 400.0 mil,5/7/2026 Thursday,S/O,S/O
"Suja Life, Inc.",SUJA,Goldman Sachs/Jefferies/William Blair/BofA Securities/Evercore ISI,8.9,21.00,24.00,$ 200.0 mil,5/7/2026 Thursday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,5/13/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,5/13/2026 Week of,S/O,S/O
